,Name,Neuron,Cond,LatentVar1,LatentVar2,LatentVar3,LatentVar4
0,{RMEL}_{STAM_appetitive_trained_ON}_{LEIFstapTrained2BUT_onStep_lev},RMEL,STAM_appetitive_trained_ON,2.329459172632231,-1.5245482462140068,0.5530011795805864,-0.8745705053112073
1,{ASKR}_{LTAM_aversive_trained_ON}_{LEIFltavTrained8BUT_onStep_lev},ASKR,LTAM_aversive_trained_ON,-0.6349589260026877,-0.010489125114069776,0.43039604078204274,-0.01931837543948525
2,{ADFR}_{LTAM_aversive_trained_ON}_{LEIFLTAVTrained13BUT_onStep_lev},ADFR,LTAM_aversive_trained_ON,0.2124472658837769,-0.46277154397422593,-0.19455201792755022,-0.014520729056775922
3,{AWBR}_{STAM_appetitive_mock_OFF}_{LEIFStapMOCK34BUT_offStep_lev},AWBR,STAM_appetitive_mock_OFF,0.9195353627175638,-0.13595476093980768,0.29461423321422214,-0.5805815306949973
4,{AVAR}_{STAM_aversive_mock_ON}_{LEIFmockSTAV16BUT_onStep_lev},AVAR,STAM_aversive_mock_ON,0.00937868856854455,0.5392604048525056,0.30750636326551584,-1.1097654585352705
5,{ADLR}_{LTAM_aversive_mock_OFF}_{LEIFLtavMOCK8BUT_offStep_lev},ADLR,LTAM_aversive_mock_OFF,-2.015339738819983,2.745229954182066,-4.423282794994787,-3.139852350096412
6,{ADLL}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained213BUT_onStep_lev},ADLL,LTAM_appetitive_trained_ON,-0.8686058963759604,-0.2953297273367606,0.8018733349588453,-0.30466772764376016
7,{ADLL}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained5BUT_onStep_lev},ADLL,LTAM_appetitive_trained_ON,0.09828950043186194,0.12441989687254792,0.00017999915669428442,0.17211987038336746
8,{AVBR}_{STAM_aversive_trained_OFF}_{LEIFstavTrained4BUT_offStep_lev},AVBR,STAM_aversive_trained_OFF,-0.1386734886313652,0.2054431996527386,-0.022314660222418497,0.056555156326233265
9,{ASKR}_{STAM_appetitive_mock_ON}_{LEIFStapMOCK42BUT_onStep_lev},ASKR,STAM_appetitive_mock_ON,-0.372896895533622,0.05066257060176402,0.3003905341222926,0.2154979362712975
10,{RMEV}_{LTAM_appetitive_mock_OFF}_{LEIFLTAPMock2BUT_offStep_lev},RMEV,LTAM_appetitive_mock_OFF,0.1839393414966484,0.1549829864575677,-0.17845770766469748,0.15122690805061453
11,{AVER}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained314BUT_onStep_lev},AVER,LTAM_appetitive_trained_ON,-0.9275571800923824,0.21222313656682038,-0.03850739490652782,-0.7082428187157237
12,{ASIR}_{LTAM_aversive_trained_ON}_{LEIFLTAVTrained13BUT_onStep_lev},ASIR,LTAM_aversive_trained_ON,0.18638462883802445,0.13335787558556056,-0.11892647770217618,0.20233665602047027
13,{ADLL}_{naive_ON}_{LEIFnaive7BUT_onStep},ADLL,naive_ON,0.19422202485811776,0.1289250512145294,-0.13936012374252196,0.1939454551228533
14,{RMER}_{STAM_appetitive_mock_OFF}_{LEIFstapMock21BUT_offStep_lev},RMER,STAM_appetitive_mock_OFF,-0.24487796886936458,-0.12500349563713245,-0.37267751527933196,-0.7976756851889019
15,{ASJR}_{STAM_appetitive_trained_ON}_{LEIFstapTrained34BUT_onStep_lev},ASJR,STAM_appetitive_trained_ON,-0.6554792662826063,0.45293735395534707,1.3253527281533393,0.2379400840617153
16,{RMEL}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained416BUT_offStep_lev},RMEL,LTAM_appetitive_trained_OFF,-0.20287598490097666,0.2248741598676686,-0.04280825435530309,0.3354680444724174
17,{AWBL}_{STAM_appetitive_trained_ON}_{LEIFstapTrained22BUT_onStep_lev},AWBL,STAM_appetitive_trained_ON,-0.05197017251031676,-1.0656129606146274,-0.6235320514282732,-0.6396951637705243
18,{RIML}_{LTAM_aversive_mock_ON}_{LEIFLtavMOCK4BUT_onStep_lev},RIML,LTAM_aversive_mock_ON,-1.9255276747271206,1.22794117057347,2.065942669526715,0.04747316048876544
19,{ASGL}_{STAM_appetitive_trained_OFF}_{LEIFstapTrained12BUT_offStep_lev},ASGL,STAM_appetitive_trained_OFF,0.1329058901008229,0.059273554374796235,-0.057442505763788294,0.12208688097815683
20,{AIBL}_{STAM_aversive_trained_OFF}_{LEIFstavTrained24BUT_offStep_lev},AIBL,STAM_aversive_trained_OFF,-3.22414788767371,-0.42512583911524626,-1.3066933988008862,-2.083646675321377
21,{ADLR}_{STAM_appetitive_mock_ON}_{LEIFStapMOCK33BUT_onStep_lev},ADLR,STAM_appetitive_mock_ON,-0.40062506895050615,-0.3189693704795297,0.5066754442416902,0.1729303804685919
22,{AVAR}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained4BUT_onStep_lev},AVAR,LTAM_appetitive_trained_ON,-0.6968582845406119,0.20365044263959778,1.6967069605096223,-0.05112296122511345
23,{AVAL}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained416BUT_offStep_lev},AVAL,LTAM_appetitive_trained_OFF,-1.8232678835322351,-2.2861546835316626,-0.8130469712187407,-5.869749364721614
24,{AVAR}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained2BUT_onStep_lev},AVAR,LTAM_appetitive_trained_ON,-4.463031069000677,-4.286424512130718,3.119651592153357,-0.09756656457288555
25,{AWBL}_{STAM_appetitive_trained_OFF}_{LEIFstapTrained2BUT_offStep_lev},AWBL,STAM_appetitive_trained_OFF,0.7947487098387324,-0.010189655904710538,0.4736879538595313,-0.5031075235565629
26,{ASGR}_{LTAM_aversive_mock_OFF}_{LEIFLtavMOCK4BUT_offStep_lev},ASGR,LTAM_aversive_mock_OFF,0.10256389690155382,0.11523549694626821,-0.013034558765896126,0.09944968199786527
27,{AWCR}_{STAM_aversive_trained_ON}_{LEIFstavTrained22BUT_onStep_lev},AWCR,STAM_aversive_trained_ON,-0.16572658973357607,0.058730421127138645,0.31279077753872364,0.16436011713908472
28,{AVBL}_{STAM_appetitive_trained_OFF}_{LEIFstapTrained12BUT_offStep_lev},AVBL,STAM_appetitive_trained_OFF,0.8226171671507284,-1.3089256877520397,0.9112783036998318,-0.6853701714912512
29,{ASIL}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained614BUT_onStep_lev},ASIL,LTAM_appetitive_trained_ON,0.15371427398003112,0.09453581012602044,-0.07118943418917492,0.19521497869253107
30,{AWCR}_{STAM_appetitive_mock_OFF}_{LEIFStapMOCK34BUT_offStep_lev},AWCR,STAM_appetitive_mock_OFF,0.0342364170279233,0.1349365655931054,-0.02250103543821804,0.19919100154835892
31,{RMEV}_{LTAM_appetitive_mock_OFF}_{LEIFLTAPMock144But_offStep_lev},RMEV,LTAM_appetitive_mock_OFF,0.18033317891235698,-0.0844959070310915,0.03383130998870749,0.02291828506553048
32,{AWAL}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained314BUT_onStep_lev},AWAL,LTAM_appetitive_trained_ON,-0.22243742475283876,-2.2678491658988804,-0.7860326183492443,-2.128338816077693
33,{AVAL}_{STAM_aversive_trained_ON}_{LEIFstavTrained4BUT_onStep_lev},AVAL,STAM_aversive_trained_ON,0.17393117403314468,0.08447966401329668,-0.1889455239161749,0.1420147082367832
34,{ASKR}_{STAM_appetitive_trained_ON}_{LEIFstapTrained33BUT_onStep_lev},ASKR,STAM_appetitive_trained_ON,-0.5206455425115756,0.21420316053369579,-0.028242514773376082,0.02044910990877546
35,{AIBL}_{LTAM_aversive_mock_ON}_{LEIFLtavMOCK9BUT_onStep_lev},AIBL,LTAM_aversive_mock_ON,-0.44465838646563044,-0.8356395232076922,1.2194331620865029,-0.36058957515872303
36,{ADLL}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained6BUT_offStep_lev},ADLL,LTAM_appetitive_trained_OFF,0.2595843002813296,0.1406187144649381,-0.1480918489619743,0.19327898823506867
37,{ASKR}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained2BUT_onStep_lev},ASKR,LTAM_appetitive_trained_ON,-0.5007454394334332,-0.26651116686147514,0.3609886702731049,-0.11019899309113593
38,{ASHL}_{naive_ON}_{LEIFnaive7BUT_onStep},ASHL,naive_ON,-0.44235952327939493,-0.1895583824403818,0.35056431913278024,-0.39600253599912527
39,{AVER}_{LTAM_aversive_mock_ON}_{LEIFLtavMOCK10BUT_onStep_lev},AVER,LTAM_aversive_mock_ON,-0.7075427946056062,-0.19474405434619288,0.39187496427040736,-0.6742594287519064
40,{ASHL}_{STAM_appetitive_mock_OFF}_{LEIFStapMOCK35BUT_offStep_lev},ASHL,STAM_appetitive_mock_OFF,0.1319157581109943,0.2150644498015489,-0.02258029407554934,0.15396892986330335
41,{ASIR}_{LTAM_aversive_mock_ON}_{LEIFLtavMOCK14BUT_onStep_lev},ASIR,LTAM_aversive_mock_ON,-1.1267208861173528,-0.30286101601857246,2.013271614098483,-0.46812828951283353
42,{ASKR}_{STAM_appetitive_mock_ON}_{LEIFStapMOCK34BUT_onStep_lev},ASKR,STAM_appetitive_mock_ON,0.018168771448300657,0.03543727059902278,0.4689014587558003,-0.09879458957192506
43,{AVAR}_{naive_OFF}_{LEIFnaive3BUT_offStep_lev},AVAR,naive_OFF,-2.8253694217904717,-4.344634348244509,3.1623454410060012,-2.2228958726194166
44,{AVAR}_{STAM_aversive_mock_OFF}_{LEIFmockSTAV16BUT_offStep_lev},AVAR,STAM_aversive_mock_OFF,0.30152291478841886,1.7331539649938432,1.980534504974274,-0.8202172193779383
45,{AVHL}_{LTAM_aversive_trained_ON}_{LEIFltavTrained8BUT_onStep_lev},AVHL,LTAM_aversive_trained_ON,-0.03285066580701353,-0.06722633842882994,-0.03767167447691252,0.05680479838483422
46,{ADFL}_{STAM_appetitive_mock_ON}_{LEIFStapMOCK52BUT_onStep_lev},ADFL,STAM_appetitive_mock_ON,0.09352068711527063,-1.2206773871896681,0.1304084973686925,-0.7343007697828324
47,{ADLR}_{LTAM_aversive_mock_ON}_{LEIFLtavMOCK9BUT_onStep_lev},ADLR,LTAM_aversive_mock_ON,-0.2546115436302252,-0.19164247248935412,0.5920118136573822,-0.07228866175874922
48,{AWAL}_{LTAM_aversive_trained_ON}_{LEIFltavTrained8BUT_onStep_lev},AWAL,LTAM_aversive_trained_ON,0.421639958302615,-1.4841026915024635,-1.221886416414391,-1.9970883066502172
49,{AWAL}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained112BUT_onStep_lev},AWAL,LTAM_appetitive_trained_ON,0.19701770162457447,-0.5757002936110011,-0.19675748812804608,-0.1636080524203058
50,{ADLL}_{STAM_aversive_mock_OFF}_{LEIFmockSTAV21BUT_offStep_lev},ADLL,STAM_aversive_mock_OFF,0.22018363319025364,0.16397955356324237,-0.1601296706089147,0.19409343271006768
51,{ASHR}_{LTAM_aversive_mock_ON}_{LEIFLtavMOCK3BUT_onStep_lev},ASHR,LTAM_aversive_mock_ON,-0.2036275888724296,-0.2856603314918508,1.2290903671577835,-0.43537668323313206
52,{AWCL}_{LTAM_aversive_trained_OFF}_{LEIFLTAVTrained12BUT_offStep_lev},AWCL,LTAM_aversive_trained_OFF,1.0040617100171108,-0.770710634718721,0.32473022349011565,-1.2890765838294078
53,{ASIL}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained112BUT_onStep_lev},ASIL,LTAM_appetitive_trained_ON,0.25351918787879635,0.17670845504928281,-0.19412825781564078,0.21097650941445886
54,{RMEV}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained1BUT_offStep_lev},RMEV,LTAM_appetitive_trained_OFF,0.2626643162077799,0.1425532782364763,-0.16855707532189088,0.19798327626541962
55,{RMEL}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained5BUT_offStep_lev},RMEL,LTAM_appetitive_trained_OFF,0.00023511838426856844,0.008349324641713866,-0.2715747846567983,0.1503900151516679
56,{ADFL}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained2BUT_offStep_lev},ADFL,LTAM_appetitive_trained_OFF,0.29844068570043325,0.13930715477233055,-0.1559314497350578,0.1678661142575979
57,{AIBR}_{naive_ON}_{LEIFnaive7BUT_onStep},AIBR,naive_ON,-1.3942011672562171,0.5215358301136042,1.006936484689331,0.7297729872900289
58,{AVEL}_{LTAM_aversive_mock_ON}_{LEIFLtavMOCK13BUT_onStep_lev},AVEL,LTAM_aversive_mock_ON,-3.330114978214676,-0.0037469094954321416,0.07507340101710987,-0.62417780785576
59,{AWCL}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained314BUT_onStep_lev},AWCL,LTAM_appetitive_trained_ON,-0.1051756550788365,0.22821965621899062,0.09972383413042415,-0.026892862737098365
60,{RIVR}_{LTAM_aversive_trained_ON}_{LEIFLTAVTrained10BUT_onStep_lev},RIVR,LTAM_aversive_trained_ON,0.05991940398522275,0.14948589068381668,-0.0583071039426714,0.12938395109900264
61,{ASIR}_{STAM_aversive_trained_ON}_{LEIFstavTrained24BUT_onStep_lev},ASIR,STAM_aversive_trained_ON,0.16781623761816228,0.11801069272723942,-0.07685622007610016,0.1650200408131538
62,{AVER}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained614BUT_onStep_lev},AVER,LTAM_appetitive_trained_ON,0.19366266965273465,-0.03548063339858623,-0.08514613960128667,0.10722587994845105
63,{ASKL}_{STAM_appetitive_mock_OFF}_{LEIFstapMOCK39BUT_offStep_lev},ASKL,STAM_appetitive_mock_OFF,-0.33196759403101767,-0.11995241543947993,-0.014982962954936875,-0.09312391269875953
64,{ASIR}_{LTAM_aversive_trained_ON}_{LEIFltavTrained8BUT_onStep_lev},ASIR,LTAM_aversive_trained_ON,0.2563332461049814,0.14624875689903002,-0.1302087716340771,0.2098578618789047
